name_latin,name_cyrillic,list_source,list_date,dob,nationality
Vladimir Putin,Владимир Путин,OFAC,2022-02-24,1952-10-01,RU
Sergei Lavrov,Сергей Лавров,OFAC,2022-03-01,1956-03-21,RU
Igor Sechin,Игорь Сечин,OFAC,2014-12-29,1960-07-07,RU
Gennady Timchenko,Геннадий Тимченко,OFAC,2014-12-29,1952-11-11,RU
Yuri Kovalchuk,Юрий Ковальчук,OFAC,2014-03-17,1951-07-14,RU
Alisher Usmanov,Алишер Усманов,EU,2022-03-01,1953-09-12,RU
Roman Abramovich,Роман Абрамович,EU,2022-03-01,1966-10-11,RU
Viktor Vekselberg,Виктор Вексельберг,OFAC,2018-04-06,1957-09-14,RU
Mikhail Fridman,Михаил Фридман,EU,2022-03-01,1965-04-21,RU
Petr Aven,Петр Авен,EU,2022-04-08,1955-01-10,RU
